ID,Name,Description,Is Active,Image Filename
118,Amsterdam,Explore charming canals and historic architecture in Amsterdam. Our hotels offer authentic Dutch hospitality.,True,amsterdam.jpg
110,Barcelona,Enjoy Mediterranean charm and Gaudí architecture in vibrant Barcelona. Our hotels capture the city's unique spirit.,True,barcelona.jpg
116,Chicago,Discover architectural marvels and deep-dish charm in Chicago. Our hotels offer stunning skyline views and urban sophistication.,True,chicago.jpg
105,Dubai,Luxurious desert city with stunning architecture and world-class shopping,True,dubai_G08t6A0.jpg
112,Hong Kong,Dynamic financial hub with stunning skyline and mountain hikes,True,hong_kong_FR5GkbK.jpg
111,Istanbul,City straddling two continents with rich history and stunning mosques,True,istanbul_xMcAjAN.jpg
115,Las Vegas,Indulge in ultimate luxury on the Las Vegas Strip. Our hotels offer world-class entertainment and premium accommodations.,True,las_vegas.jpg
102,London,Discover historic charm meets modern luxury in the heart of London. Our hotels offer easy access to iconic landmarks and cultural attractions.,True,london.jpg
113,Los Angeles,Live the California dream in Los Angeles. Our hotels offer star treatment in the entertainment capital of the world.,True,los_angeles.jpg
114,Miami,Experience tropical luxury and art deco glamour in Miami. Our beachfront properties redefine coastal living.,True,miami.jpg
101,New York,Experience the vibrant energy of New York City with our luxury hotels located in prime Manhattan locations. Perfect for business and leisure travelers alike.,True,new_york.jpg
103,Paris,Immerse yourself in the romance and elegance of Paris. Our hotels provide stunning views and authentic Parisian experiences.,True,paris.jpg
120,Prague,Discover the fairy-tale beauty of Prague. Our hotels in the historic city center offer magical experiences.,True,prague.jpg
109,Rome,Step into history with our luxury hotels in the eternal city. Experience Roman elegance and timeless beauty.,True,rome.jpg
117,San Francisco,Experience the iconic hills and bay views of San Francisco. Our hotels combine tech innovation with classic California style.,True,san_francisco.jpg
106,Singapore,Enjoy world-class luxury in the garden city. Our Singapore hotels feature stunning architecture and exceptional amenities.,True,singapore.jpg
108,Sydney,Wake up to breathtaking harbor views in Sydney. Our properties offer premium accommodations with iconic Opera House vistas.,True,sydney.jpg
104,Tokyo,Experience the perfect blend of traditional culture and cutting-edge technology in Tokyo. Our hotels offer unparalleled service and comfort.,True,tokyo.jpg
119,Vienna,Immerse yourself in classical music and imperial history in Vienna. Our hotels embody Austrian elegance and culture.,True,vienna.jpg
